survey_id,date,elevation_date,latitude,longitude,elevation,thickness,thickness_uncertainty,flag,rgi_id,x_proj,y_proj,i_grid,j_grid,ij_grid
197,2008-02-26,2008-02-26,45.9791499,7.8699535,3490.0,55,,,RGI60-11.02773,-43.10726522779088,5091730.907377148,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791533,7.8699579,3490.0,55,,,RGI60-11.02773,-42.766432480914915,5091731.285136711,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791565,7.8699623,3490.0,55,,,RGI60-11.02773,-42.425599928506635,5091731.640675001,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791598,7.8699668,3490.0,55,,,RGI60-11.02773,-42.077021201602236,5091732.007323902,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791631,7.8699712,3490.0,55,,,RGI60-11.02773,-41.73618865353268,5091732.373972878,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791663,7.8699756,3490.0,56,,,RGI60-11.02773,-41.395356220599105,5091732.7295112265,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791696,7.86998,3490.0,56,,,RGI60-11.02773,-41.05452375290446,5091733.096160238,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791729,7.8699844,3490.0,56,,,RGI60-11.02773,-40.713691325827234,5091733.462809268,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791762,7.8699888,3490.0,56,,,RGI60-11.02773,-40.37285893924426,5091733.829458318,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791795,7.8699932,3490.0,56,,,RGI60-11.02773,-40.03202659303232,5091734.196107389,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791827,7.8699976,3490.0,56,,,RGI60-11.02773,-39.69119435888871,5091734.551645832,145,138,0145_0138
197,2008-02-26,2008-02-26,45.979186,7.8700021,3490.0,56,,,RGI60-11.02773,-39.34261595882475,5091734.91829489,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791893,7.8700065,3490.0,56,,,RGI60-11.02773,-39.00178373394221,5091735.284944018,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791925,7.8700109,3490.0,56,,,RGI60-11.02773,-38.66095161927338,5091735.640482519,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791959,7.8700153,3490.0,56,,,RGI60-11.02773,-38.32011940578311,5091736.0182423275,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9791992,7.8700197,3490.0,56,,,RGI60-11.02773,-37.97928730250655,5091736.384891513,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792024,7.8700241,3490.0,56,,,RGI60-11.02773,-37.6384553073567,5091736.74043007,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792057,7.8700285,3490.0,56,,,RGI60-11.02773,-37.29762328445514,5091737.107079292,145,138,0145_0138
197,2008-02-26,2008-02-26,45.979209,7.8700329,3490.0,56,,,RGI60-11.02773,-36.95679130192468,5091737.473728532,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792122,7.8700374,3490.0,56,,,RGI60-11.02773,-36.60821329535308,5091737.829267102,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792155,7.8700418,3490.0,56,,,RGI60-11.02773,-36.2673813936578,5091738.195916382,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792189,7.8700462,3490.0,56,,,RGI60-11.02773,-35.92654946790605,5091738.573676326,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792221,7.8700506,3490.0,56,,,RGI60-11.02773,-35.5857177118733,5091738.929214998,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792254,7.870055,3490.0,56,,,RGI60-11.02773,-35.24488593178409,5091739.295864333,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792286,7.8700594,3489.0,56,,,RGI60-11.02773,-34.904054255022466,5091739.651403045,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792319,7.8700638,3489.0,56,,,RGI60-11.02773,-34.56322255518511,5091740.01805242,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792352,7.8700682,3489.0,56,,,RGI60-11.02773,-34.222390895842075,5091740.3847018145,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792385,7.8700727,3489.0,56,,,RGI60-11.02773,-33.87381315021031,5091740.751351184,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792418,7.8700771,3489.0,55,,,RGI60-11.02773,-33.53298157231607,5091741.118000616,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792451,7.8700815,3489.0,55,,,RGI60-11.02773,-33.19215003491613,5091741.484650068,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792483,7.8700859,3489.0,55,,,RGI60-11.02773,-32.85131859727176,5091741.8401888935,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792516,7.8700903,3489.0,55,,,RGI60-11.02773,-32.5104871403701,5091742.2068383815,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792549,7.8700947,3489.0,55,,,RGI60-11.02773,-32.16965572383958,5091742.573487891,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792581,7.8700991,3489.0,55,,,RGI60-11.02773,-31.828824405224,5091742.929026773,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792615,7.8701036,3489.0,55,,,RGI60-11.02773,-31.480246888685738,5091743.3067869255,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792648,7.870108,3489.0,55,,,RGI60-11.02773,-31.13941559422157,5091743.673436492,145,138,0145_0138
197,2008-02-26,2008-02-26,45.979268,7.8701124,3489.0,55,,,RGI60-11.02773,-30.798584395571392,5091744.02897543,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792713,7.8701168,3489.0,55,,,RGI60-11.02773,-30.45775318148237,5091744.395625035,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792746,7.8701212,3489.0,55,,,RGI60-11.02773,-30.1169220077645,5091744.762274659,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792778,7.8701256,3489.0,55,,,RGI60-11.02773,-29.776090928266363,5091745.117813655,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792811,7.87013,3489.0,55,,,RGI60-11.02773,-29.43525983504684,5091745.484463316,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792844,7.8701344,3489.0,55,,,RGI60-11.02773,-29.0944287821985,5091745.851112995,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792877,7.8701389,3489.0,55,,,RGI60-11.02773,-28.745851649798936,5091746.217762659,145,138,0145_0138
197,2008-02-26,2008-02-26,45.979291,7.8701433,3489.0,55,,,RGI60-11.02773,-28.40502067852266,5091746.584412379,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792942,7.8701477,3489.0,55,,,RGI60-11.02773,-28.064189798138074,5091746.939951469,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9792975,7.8701521,3489.0,55,,,RGI60-11.02773,-27.723358907113802,5091747.306601228,145,138,0145_0138
197,2008-02-26,2008-02-26,45.9793008,7.8701565,3488.0,55,,,RGI60-11.02773,-27.382528056707127,5091747.673251002,145,138,0145_0138
