X,Y,Alt,Annual_SMB (m w.e.),Year
412634.69125210284,5093429.97309666,3243.0,0.29558378746594,2013
412634.69125210284,5093429.97309666,3243.0,0.30403491620111733,2012
413454.2660167444,5094587.53724841,3253.0,0.0,2019
412654.54062767816,5093422.584309891,3254.0,-1.5733846153846152,2016
412681.2871334626,5093410.061100239,3258.0,-1.1576068548387097,2020
413377.1229545283,5094630.045046961,3258.0,-0.7832472752043597,2015
412674.7010370948,5093380.198544593,3258.0,-1.0927885135135134,2017
412601.2639345679,5093458.623601818,3259.0,-0.17194220055710308,2014
413489.0447021489,5094576.755305107,3260.0,0.020519662921348315,2018
413413.70561750943,5094609.33016534,3261.0,-0.25130013927576605,2014
412684.14198800875,5093407.805494243,3261.4,-0.5909662921348314,2018
412686.2642262806,5093408.96341728,3262.0,-0.3702671703296703,2019
413455.7374681922,5094611.502054448,3262.0,0.5509357541899442,2012
413455.7374681922,5094611.502054448,3262.0,0.3473358310626703,2013
413527.92308386916,5094571.091312459,3264.0,-0.4418346774193549,2020
412683.4395427578,5093367.029977167,3268.0,-0.982601902173913,2011
413525.3184428555,5094591.137385187,3269.0,-1.2527087837837838,2017
412705.2089516063,5093355.6044536745,3270.0,-1.3535149863760219,2015
413525.25943010114,5094588.1393261105,3277.0,-0.9200726902173912,2011
413529.9098543788,5094672.025975497,3280.0,0.18572033898305085,2004
413529.9098543788,5094672.025975497,3280.0,0.020123966942148762,2006
413376.7962581326,5094715.029440371,3280.0,0.21772562674094706,2008
413418.67075658904,5094709.206496513,3280.0,-0.36525,2007
413529.9098543788,5094672.025975497,3280.0,-0.7508481894150418,2005
413488.7837577815,5094207.956439137,3296.0,0.3095338983050847,2004
413488.7837577815,5094207.956439137,3296.0,0.2012396694214876,2006
414089.1028343784,5094232.130607377,3338.0,-0.06604520547945206,2010
414089.1028343784,5094232.130607377,3338.0,0.9146097560975609,2011
414110.0892036852,5094231.717503074,3343.0,-0.1204120879120879,2016
414143.67369844776,5094211.061649734,3343.0,0.9610768156424581,2012
414144.3067508106,5094212.748742983,3344.3,0.4514325842696629,2018
414142.7530344903,5094215.078724455,3345.0,0.42144230769230767,2019
414167.30402499106,5094192.601216045,3349.0,1.017409470752089,2005
414158.21151034324,5094187.781508154,3349.0,0.9604345403899721,2008
414167.30402499106,5094192.601216045,3349.0,1.0670447154471545,2007
414167.30402499106,5094192.601216045,3349.0,0.34994622905027933,2009
414167.30402499106,5094192.601216045,3349.0,1.0846818181818183,2006
414141.6749968978,5094211.100993139,3349.0,0.049092741935483866,2020
414167.2843532681,5094191.601865397,3350.0,1.0021982288828337,2013
414169.34206980054,5094194.560573887,3351.6,0.11845945945945947,2017
414168.26403221657,5094190.582843029,3353.0,0.09952316076294279,2015
414168.26403221657,5094190.582843029,3353.0,0.6694554317548747,2014
412888.5581836595,5092766.150152696,3392.0,1.118195530726257,2009
413176.9106047367,5092635.508806342,3450.0,0.6622012195121951,2011
412467.5262423804,5092606.479198016,3450.0,1.556955508474576,2004
412467.5262423804,5092606.479198016,3450.0,1.7540139275766018,2005
413166.6024640971,5092619.715885294,3457.0,1.2758732876712329,2010
413200.8163103345,5092631.039430303,3458.0,1.25650069637883,2014
413182.788701957,5092629.394718942,3460.0,1.8752220670391062,2012
413404.79775702354,5092582.037197316,3477.0,1.3265398351648352,2019
413333.0413483393,5092593.446649869,3478.2,0.0,2016
413344.71886876563,5092577.22108386,3479.0,0.37420708446866485,2015
413394.83304847125,5092573.535598825,3485.1,1.4989613764044944,2018
413390.78721681307,5092581.313177713,3504.0,1.1350241935483871,2020
