# Mass Balance;  Findelen; 16; annual
# name; date0; time0; date1; time1; period; date_quality; x_pos ; y_pos ; z_pos ; position_quality; mb_raw ; density ;  density_quality ; mb_we ; measurement_quality ; measurement_type ; mb_error ; reading_error ; density_error ; error_evaluation_method; source
# (-);  (yyyymmdd); (hhmm) ; (yyyymmdd); (hhmm) ; (d) ; (#) ; (m) ; (m) ; (m a.s.l.) ; (#) ; (cm) ; (kg m-3) ; (#) ; (mm w.e.) ; (#) ; (#) ; (mm w.e.) ; (mm w.e.) ; (mm w.e.) ; (#) ; (-) 
#  GLAMOS / VAW-ETHZ    ; production-date 20231108 ;   reference ; http://www.glamos.ch
        200   20100929 1200   20110930 1200  366.0  1   630333.0  95451.0  2613.0   2  -852   900   1  -7668   1   1   123    45   115   0  mh,al,ns,ufr,uzh
        310   20100929 1200   20110930 1200  366.0  1   630871.0  95436.0  2681.0   2  -647   900   1  -5823   1   1    98    45    87   0  mh,al,ns,ufr,uzh
        320   20100929 1200   20110930 1200  366.0  1   630972.0  95255.0  2698.0   2  -752   900   1  -6768   1   1   111    45   101   0  mh,al,ns,ufr,uzh
        400   20100929 1200   20110929 1200  365.0  1   631526.0  95373.0  2810.0   2  -544   900   1  -4896   1   1    86    45    73   0  mh,al,ns,ufr,uzh
        500   20100929 1200   20110929 1200  365.0  1   632148.4  95073.6  2924.6   2  -311   900   1  -2799   1   1    61    45    41   0  mh,al,ns,ufr,uzh
        610   20100929 1200   20110929 1200  365.0  1   632358.0  95016.0  2955.0   2  -371   900   1  -3339   1   1    67    45    50   0  mh,al,ns,ufr,uzh
        700   20100929 1200   20110929 1200  365.0  1   632500.6  94346.8  3043.8   2  -266   900   1  -2394   1   1    57    45    35   0  mh,al,ns,ufr,uzh
        800   20100929 1200   20110930 1200  366.0  1   633302.0  93853.3  3126.8   2  -177   900   1  -1593   1   1    50    45    23   0  mh,al,ns,ufr,uzh
        810   20100929 1200   20110930 1200  366.0  1   633393.0  94520.0  3159.0   2  -235   900   1  -2115   1   1    55    45    31   0  mh,al,ns,ufr,uzh
        820   20100929 1200   20110930 1200  366.0  1   632539.4  93759.7  3093.3   2  -231   900   1  -2079   1   1    54    45    31   0  mh,al,ns,ufr,uzh
